 00:00:00.135962 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 128294:129662, ack 526, win 506, options [nop,nop,TS val 1395313753 ecr 3652396352], length 1368
 00:00:00.135963 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 129662:131030, ack 526, win 506, options [nop,nop,TS val 1395313753 ecr 3652396352], length 1368
 00:00:00.135964 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [P.], seq 131030:132398, ack 526, win 506, options [nop,nop,TS val 1395313753 ecr 3652396352], length 1368
 00:00:00.136273 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 132398:133766, ack 526, win 506, options [nop,nop,TS val 1395313754 ecr 3652396352], length 1368
 00:00:00.136274 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 133766:135134, ack 526, win 506, options [nop,nop,TS val 1395313754 ecr 3652396352], length 1368
 00:00:00.136275 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 135134:136502, ack 526, win 506, options [nop,nop,TS val 1395313754 ecr 3652396352], length 1368
 00:00:00.136276 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 136502:137870, ack 526, win 506, options [nop,nop,TS val 1395313754 ecr 3652396352], length 1368
 00:00:00.136277 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 137870:139238, ack 526, win 506, options [nop,nop,TS val 1395313754 ecr 3652396352], length 1368
 00:00:00.136278 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 139238:140606, ack 526, win 506, options [nop,nop,TS val 1395313754 ecr 3652396352], length 1368
 00:00:00.136278 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 140606:141974, ack 526, win 506, options [nop,nop,TS val 1395313754 ecr 3652396352], length 1368
 00:00:00.136279 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [P.], seq 141974:143342, ack 526, win 506, options [nop,nop,TS val 1395313754 ecr 3652396352], length 1368
